Category,Error,PlainEnglishMeaning,HowToFix,CommonCauses,TodoChecklist
Syntax,Expected '{',The compiler expected the start of a code block but didn't find one.,Add the missing opening brace in the correct location.,Forgot to open a function body|Forgot to open an if statement|Forgot to open a class or struct|Accidentally deleted a brace|Brace mismatch earlier in the file,Look at the line above the error|Check matching braces|Use Xcode's brace matching|Auto-indent the file|Fix earlier syntax errors first
Syntax,Expected '}',A code block was never closed.,Add the missing closing brace.,Forgot to close a function|Forgot to close a loop|Forgot to close a class|Nested braces became unbalanced|Earlier syntax error confused the parser,Collapse code blocks|Match every opening brace|Use editor highlighting|Check recent edits|Fix parser errors from the top down
Syntax,Expected ')',A parenthesized expression or parameter list wasn't closed.,Insert the missing closing parenthesis.,Function call missing ')'|if/while condition incomplete|Math expression incomplete|Nested function call|Deleted parenthesis accidentally,Count parentheses|Use auto-formatting|Check the previous few lines|Look for nested calls|Fix the first parser error
Syntax,Expected '(',The compiler expected an opening parenthesis.,Add the missing opening parenthesis.,Function declaration typo|Function call typo|if statement malformed|while statement malformed|for loop malformed,Compare with Swift syntax|Check keywords|Verify function declarations|Use code completion|Inspect the previous token
Syntax,Expected ']',"An array, dictionary, or subscript wasn't closed.",Add the missing closing bracket.,Array literal incomplete|Dictionary literal incomplete|Subscript typo|Nested collection|Bracket accidentally removed,Match brackets|Check collection literals|Auto-indent|Fix earlier syntax issues|Review recent edits
Syntax,Expected ':',A colon is required in that language construct.,Insert the missing colon.,Dictionary literal|Type annotation|Switch case|Ternary operator typo|Parameter declaration,Check Swift syntax|Inspect the surrounding declaration|Use autocomplete|Compare with documentation|Fix the earliest parser error
Syntax,"Expected ','",Two values or parameters weren't separated correctly.,Insert a comma between the items.,Function parameters|Array elements|Dictionary entries|Tuple values|Generic parameters,Count list items|Compare with similar code|Use formatter|Inspect previous value|Fix syntax from the top
Syntax,Expected expression,The compiler expected a value or expression but found something invalid.,Provide a valid expression.,Missing return value|Half-written statement|Operator without operand|Deleted code|Parser confusion,Read the previous line|Complete the statement|Look for missing operators|Check parentheses|Fix earlier syntax errors
Syntax,Expected declaration,"The compiler expected a declaration like a class, struct, variable, or function.",Write a valid declaration or remove stray code.,Random statement at file scope|Malformed function|Missing keyword|Parser confusion|Merge conflict,Check surrounding code|Look for missing braces|Ensure declarations are complete|Resolve merge markers|Fix earlier errors
Syntax,Unexpected token,The compiler encountered text that doesn't belong there.,Remove or correct the unexpected text.,Typo|Copied code incorrectly|Missing separator|Wrong language syntax|Parser already out of sync,Look immediately before the error|Check delimiters|Compare with valid syntax|Remove stray characters|Fix the first reported syntax error
Syntax,Unterminated string literal,A string started with a quotation mark but never ended.,Add the missing quotation mark or escape embedded quotes.,Forgot closing quote|Embedded quote not escaped|Multiline string mistake|Merge conflict|Deleted quote,Find the opening quote|Check escaping|Inspect multiline strings|Look for accidental line breaks|Use syntax highlighting
Syntax,Invalid escape sequence,A backslash escape inside a string isn't valid.,Use a supported escape sequence.,Typo after '\\'|Copied another language's escape|Missing extra backslash|Bad Unicode escape|Incorrect regex escaping,Review escape sequences|Escape backslashes correctly|Check Unicode syntax|Read compiler highlight|Test with a simple string
Variables,Use of unresolved identifier,You're referring to something that doesn't exist or isn't visible here.,"Declare it, import the correct module, or fix the spelling.",Typo|Variable out of scope|Missing import|Deleted declaration|Wrong capitalization,Check spelling|Use autocomplete|Verify scope|Import required frameworks|Search for the declaration
Variables,Cannot find 'X' in scope,The name exists nowhere the compiler can currently access.,Declare it or move it into scope.,Typo|Scope issue|Conditional compilation|Missing import|Deleted symbol,Check spelling exactly|Inspect scope|Verify imports|Search project|Check build configuration
Variables,Invalid redeclaration,Something with the same name already exists in the same scope.,Rename or remove one declaration.,Duplicate variable|Duplicate function|Copy-paste|Merge conflict|Generated code duplicated,Search for duplicates|Rename symbol|Remove old code|Resolve merge conflicts|Clean build
Variables,Immutable value may only be initialized once,A constant declared with let cannot be changed.,Use var if the value should change.,Using let instead of var|Accidental reassignment|Refactoring oversight|Loop modification|Property declared immutable,Decide if it should be mutable|Replace let with var if appropriate|Remove reassignment|Review API expectations|Rebuild
Variables,Variable used before being initialized,A variable may not have a value before it's read.,Initialize it before use.,Conditional initialization|Forgot assignment|Complex control flow|Early return|Property not initialized,Trace every execution path|Assign a default value|Use guard statements|Simplify logic|Check compiler notes
Types,Cannot convert value of type 'String' to expected type 'Int',A value has the wrong type.,Convert the value or change the expected type.,Wrong literal|Wrong function return type|API change|Incorrect variable type|Generic inference,Read the expected type|Use Int() if appropriate|Check function signatures|Verify variable declarations|Inspect generic types
Types,Cannot assign value of type 'X' to type 'Y',The value and destination have incompatible types.,Convert one type or change the declaration.,Wrong property type|Function returned unexpected type|Literal mismatch|Incorrect generic|API update,Compare both types|Inspect declarations|Add conversion if valid|Check generics|Read related compiler notes
